기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/03,18:06,재민,5,광화문,왕십리,7,,F,O,여,,청년,X,X,X,,,,
08/03,18:11,재민,5,광화문,왕십리,7,,F,O,여,,중년,X,X,O,,,에코백 빵빵함,
08/03,18:15,재민,5,광화문,왕십리,7,14,F,O,여,,노년,X,X,X,,,,
08/03,18:23,재민,10,왕십리,야탑,16,32,N,X,여,,청년,X,O,X,핸드폰,,,
08/03,18:23,재민,10,왕십리,가천대,13,,N,X,비었음,13,,,,,,옆에 앉은 여성분이 임산부석에 악기를 올려놓음,,
08/03,18:35,재민,10,왕십리,야탑,16,,F,X,남,,청년,X,X,X,핸드폰,,,
08/03,18:49,재민,10,왕십리,야탑,16,,F,X,여,,노년,X,X,X,잠,,,
08/03,19:01,재민,10,왕십리,야탑,16,,F,X,여,,노년,X,X,X,"핸드폰, 이어폰",,,
08/03,9:49,보민,6,화랑대,태릉입구,1,,N,O,비었음,1,,,,,,,,
08/03,9:49,보민,6,화랑대,돌곶이,3,,N,O,비었음,3,,,,,,,,
08/03,9:49,보민,6,석계,돌곶이,1,,N,O,비었음,1,,,,,,,,
08/03,9:50,보민,6,안암,창신,2,,N,O,비었음,2,,,,,,,,
08/03,9:50,보민,6,보문,창신,1,,N,O,비었음,1,,,,,,,,
08/03,9:50,보민,6,화랑대,청구,12,24,E,O,여,,노년,X,X,X,미어캣,다음에 바로 내림,,
08/03,9:50,보민,6,화랑대,청구,12,,E,O,여,,노년,X,X,O,전단지 정독,,소형 구루마,
08/03,9:50,보민,6,화랑대,청구,12,,N,O,남,,노년,X,X,X,부채질,옆자리 났는데 꿋꿋이 팔걸치고 앉아 있음,,
08/03,9:50,보민,6,화랑대,청구,12,,N,O,여,,노년,X,X,X,미어캣,뛰어와서 앉음,힙색,
08/03,9:50,보민,6,화랑대,청구,12,,N,O,여,,청년,X,X,X,멍,옆자리로 옮겨앉음,,
08/03,9:50,보민,6,화랑대,청구,12,,N,O,여,,청년,X,X,X,이어폰,,,
08/03,9:50,보민,6,화랑대,청구,12,,N,O,여,,어린이,X,X,X,이어폰,,크로스백,
08/03,10:13,보민,5,청구,광화문,4,8,E,O,여,,노년,X,X,X,묵주 돌리기,,핸드백,
08/03,10:13,보민,5,청구,광화문,4,,E,O,남,,노년,X,X,X,"봉에 팔 걸침, 미어캣",,,
08/03,10:20,보민,5,청구,광화문,4,,E,O,여,,중년,X,X,X,핸드폰,옆 자리에 앉아서 가방을 임산부석에 올려놓음,,
08/03,19:20,보민,5,광화문,청구,4,8,E,O,비었음,12,,,,,,,,
08/03,19:20,보민,6,청구,화랑대,12,24,E,O,비었음,12,,,,,,,,
08/03,19:30,보민,6,청구,화랑대,12,,E,O,남,,중년,X,X,X,통화,한쪽 다리로 임산부석에 걸터 앉음,일수가방,
08/03,18:03,단비,1,종각,온수,14,28,E,X,남,,노년,X,X,X,공부,,봉지(미니),
08/03,18:03,단비,1,종각,온수,14,,E,X,여,,중년,X,X,X,대화,,,
08/03,18:31,단비,1,구로,온수,4,,E,X,비었음,,,,,,,,,
08/03,18:43,단비,7,온수,신중동,4,8,E,X,비었음,,,,,,,,,
08/03,18:43,단비,7,온수,까치울,1,,E,X,비었음,1,,,,,,,,
08/03,18:46,단비,7,까치울,춘의,2,,E,X,여,,중년,X,X,X,잠,옆 자리가 비어서 춘의역부터는 일반석에 앉음,,
08/03,18:50,단비,7,춘의,신중동,1,,E,X,비었음,,,,,,,,,
08/05,8:27,한솔,1,병점,신길,19,38,F,O,남,,중년,X,X,O,핸드폰,,노트북 가방,
08/05,8:27,한솔,1,병점,신길,19,,F,O,여,,청년,O,O,X,"핸드폰, 이어폰",,,
08/03,8:36,미현,1,수원,신길,17,34,E,O,남,,중년,X,X,O,핸드폰,,백팩,
08/05,8:36,미현,1,수원,군포,5,,E,O,비었음,5,,,,,,,,
08/05,8:45,한솔,1,병점,수원,2,,F,X,남,,노년,X,X,X,핸드폰,,,
08/05,8:51,미현,1,수원,신길,17,34,N,O,남,,중년,X,X,X,멍,,크로스백,
08/05,8:53,미현,1,수원,신길,17,,N,O,여,,청년,X,X,O,핸드폰,,"에코백, 백팩",
08/05,8:53,미현,1,금정,안양,2,,N,O,비었음,2,,,,,,,,
08/05,9:00,한솔,1,병점,신길,19,,F,X,여,,노년,X,X,X,핸드폰,,핸드백,
08/05,9:00,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,멍,,핸드백,
08/05,9:08,한솔,1,병점,신길,19,,F,O,여,,중년,X,X,X,잠,,,
08/05,9:12,한솔,1,신도림,영등포,1,,F,O,비었음,1,,,,,,,,
08/05,9:13,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/05,9:15,한솔,1,병점,신길,19,,F,O,남,,청년,X,X,O,,,백팩,
08/05,9:20,한솔,5,신길,공덕,4,8,F,X,남,,노년,X,X,O,,,에코백,
08/05,9:20,한솔,5,신길,공덕,4,,N,X,여,,중년,X,X,X,,,,
08/05,9:38,미현,5,신길,공덕,4,8,F,X,여,,노년,X,X,O,멍,,"백팩, 크로스백",
08/05,9:38,미현,5,신길,공덕,4,,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/05,8:29,재민,10,야탑,왕십리,16,32,F,X,여,,청년,O,O,X,핸드폰,,,
08/05,8:29,재민,10,야탑,왕십리,16,,F,X,여,,노년,X,X,X,핸드폰,,,
08/05,8:38,재민,10,복정,수서,1,,F,X,비었음,1,,,,,,,,
08/05,8:40,재민,10,야탑,왕십리,16,,F,X,남,,청년,X,X,X,핸드폰 -> 잠,점점 일반석이 많이 나도 옮기지 않음,,
08/05,8:43,재민,10,야탑,왕십리,16,,F,X,여,,중년,X,X,X,음료마심,,,
08/05,8:59,재민,10,압구정로데오,왕십리,2,,E,O,비었음,2,,,,,,,,
08/05,9:13,재민,5,왕십리,공덕,11,22,E,O,여,,청년,X,X,X,핸드폰,,,
08/05,9:13,재민,5,왕십리,공덕,11,,E,O,비었음,11,,,,,,,,
08/05,9:26,재민,5,광화문,공덕,11,,E,O,비었음,11,,,,,,,,
08/05,9:20,현미,6,불광,공덕,15,30,E,X,비었음,15,,,,,,,,
08/05,9:20,현미,6,불광,합정,7,,E,X,비었음,7,,,,,,,,
08/05,9:30,현미,6,합정,공덕,4,,E,X,남,,청년,X,X,X,핸드폰,,크로스백,
08/05,18:35,미현,5,공덕,신길,4,8,F,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/05,18:35,미현,5,공덕,신길,4,,F,X,여,,청년,X,X,X,핸드폰,,"크로스백, 미니 쇼핑백",
08/05,18:48,미현,1,신길,수원,17,,N,X,여,,청년,O,O,X,핸드폰,,크로스백,
08/05,18:48,미현,1,신길,영등포,1,,N,X,비었음,1,,,,,,,,
