날짜,기록 시간,기록자,호선,탑승역,하차역,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류
2019. 8. 7,20:19,미현,5호선,공덕,신길,N,O,비었음,4,,0,O,,,,
2019. 8. 7,20:33,미현,1호선,신길,수원,N,O,남,,중년,X,X,X,멍,,노트북 가방
2019. 8. 7,20:33,미현,1호선,신길,영등포,N,O,비었음,1,,0,O,,,,
2019. 8. 7,20:36,미현,1호선,신길,수원,N,O,남,,노년,X,X,X,멍,,
2019. 8. 7,20:47,미현,1호선,가산디지털단지,금정,F,X,비었음,7,,0,O,,,한 청년이 임산부석 앞에 서 있음,
2019. 8. 7,21:09,미현,1호선,신길,수원,N,X,여,,중년,X,X,O,멍,,큰 사이즈의 가방 세 개
2019. 8. 7,21:09,미현,1호선,신길,수원,N,X,남,,청년,X,X,X,핸드폰,외국인,
2019. 8. 7,21:17,미현,1호선,의왕,수원,E,O,비었음,3,,0,O,,,,
2019. 8. 7,21:12,현미,6호선,합정,디엠씨,F,O,남,,청년,X,X,X,핸드폰,,
2019. 8. 7,21:13,현미,6호선,합정,디엠씨,F,O,여,,중년,X,X,X,멍,,
2019. 8. 7,21:24,현미,6호선,디엠씨,불광,N,O,비었음,5,,,,,,,
2019. 8. 7,21:26,현미,6호선,디엠씨,불광,N,O,비었음,5,,,,,,,
2019. 8. 7,21:04,보민,6호선,공덕,약수,E,O,비었음,,,0,O,,,,
2019. 8. 7,21:04,보민,6호선,공덕,효창공원,E,O,비었음,1,,0,O,,,,
2019. 8. 7,21:04,보민,6호선,공덕,화랑대,N,O,남,,청년,X,X,X,"이어폰, 핸드폰",,가벼운 백팩
2019. 8. 7,21:15,보민,6호선,공덕,화랑대,N,O,여,,청년,X,X,X,핸드폰,옆자리 나자 옮겨앉음,"크로스백, 우산"
2019. 8. 7,21:15,보민,6호선,공덕,화랑대,N,O,여,,청년,X,X,X,핸드폰,반대편 라인 자리나자 옮겨앉음,"핸드백, 시장바구니"
2019. 8. 7,21:55,보민,6호선,창신,화랑대,N,X,비었음,9,,0,O,,,,
2019. 8. 7,21:35,보민,6호선,석계,화랑대,E,O,비었음,2,,0,O,,,,
2019. 8. 7,21:19,재민,5호선,공덕,왕십리,E,O,남,,청년,X,X,X,핸드폰,7석 중 5석이 비어있는 와중에 임산부석 옆자리에 앉아있던 남자가 임산부석으로 옮김,
2019. 8. 7,21:19,재민,5호선,공덕,종로3가,E,O,비었음,5,,,,,,,
2019. 8. 7,21:28,재민,5호선,공덕,왕십리,N,X,남,,중년,X,X,X,핸드폰,,
2019. 8. 7,21:46,재민,분당선,왕십리,야탑,E,O,여,,중년,X,X,X,핸드폰 -> 독서,,"백팩, 핸드백"
2019. 8. 7,21:46,재민,분당선,왕십리,선릉,E,O,비었음,5,,,,,,,
2019. 8. 7,21:59,재민,분당선,왕십리,야탑,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 7,8:48,단비,1호선,온수,신길,F,X,남,,청년,X,X,X,잠,,메신저백
2019. 8. 7,8:48,단비,1호선,온수,신길,F,X,남,,중년,X,X,X,대화,목발을 짚고 계심,크로스백
2019. 8. 7,9:03,단비,1호선,온수,신길,F,X,남,,중년,X,X,X,핸드폰,,백팩
2019. 8. 7,9:10,단비,5호선,신길,공덕,N,O,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 7,9:10,단비,5호선,신길,공덕,N,O,여,,청년,X,X,X,핸드폰,,"크로스백, 봉지(미니)"
2019. 8. 7,18:56,단비,5호선,공덕,신길,F,X,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 7,18:56,단비,5호선,공덕,신길,F,X,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 7,19:12,단비,1호선,신길,온수,F,X,여,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 7,19:12,단비,1호선,신길,온수,F,X,남,,중년,X,X,X,핸드폰,,
2019. 8. 7,19:17,단비,1호선,신도림,온수,F,X,여,,청년,O,O,X,전화,,크로스백
2019. 8. 7,19:28,단비,1호선,오류동,온수,F,X,비었음,,,,,,,,
2019. 8. 7,19:34,단비,7호선,온수,신중동,F,X,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 7,19:34,단비,7호선,온수,신중동,F,X,비었음,,,,,,,,
2019. 8. 8,8:15,한솔,1호선,병점,수원,E,O,비었음,2,,,,,,,
2019. 8. 8,8:15,한솔,1호선,병점,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 8,8:28,한솔,1호선,병점,신길,N,O,남,,중년,X,X,,"핸드폰, 이어폰",,노트북 가방
2019. 8. 8,8:28,한솔,1호선,병점,신길,N,O,남,,청년,X,X,,핸드폰,,백팩
2019. 8. 8,8:38,미현,1호선,수원,신길,N,O,남,,중년,X,X,X,핸드폰,,노트북 가방
2019. 8. 8,8:38,미현,1호선,수원,신길,N,O,여,,중년,X,X,X,핸드폰,,웨이스트백
2019. 8. 8,8:46,한솔,1호선,병점,신길,N,O,남,,청년,X,X,X,핸드폰,,
2019. 8. 8,8:52,미현,1호선,수원,신길,N,X,여,,중년,X,X,X,멍,,"양산, 에코백"
2019. 8. 8,8:52,보민,6호선,화랑대,공덕,N,O,여,,노년,X,X,X,미어캣,노약좌석 양쪽 칸은 차 있고 혼자 앉아있는 할배 있음,가벼운 백팩
2019. 8. 8,8:52,보민,6호선,화랑대,공덕,N,O,여,,청년,X,X,X,전화,,토드백
2019. 8. 8,8:56,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 8,9:04,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 8,9:10,보민,6호선,화랑대,공덕,N,X,여,,청년,X,X,X,잠,,토드백
2019. 8. 8,9:11,보민,6호선,화랑대,공덕,N,X,여,,중년,X,X,X,멍,,손가방
2019. 8. 8,9:15,보민,6호선,화랑대,화랑대,N,O,여,,중년,X,X,X,잠,,보스턴백
2019. 8. 8,9:18,보민,6호선,한강진,삼각지,N,O,비었음,3,,0,O,,,,
2019. 8. 8,9:19,한솔,1호선,병점,신길,F,X,남,,중년,X,X,X,핸드폰,,
2019. 8. 8,9:25,보민,6호선,화랑대,공덕,N,O,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 8,9:27,한솔,5호선,신길,공덕,F,X,여,,중년,X,X,,핸드폰,,에코백
2019. 8. 8,9:28,한솔,5호선,신길,공덕,F,X,남,,중년,X,X,X,"이어폰, 핸드폰",,
2019. 8. 8,9:28,한솔,5호선,여의도,공덕,F,X,비었음,3,,0,O,,,,
2019. 8. 8,9:39,미현,5호선,신길,공덕,F,X,비었음,4,,,,,,,
2019. 8. 8,9:39,미현,5호선,신길,마포,F,X,비었음,3,,0,,,,,
2019. 8. 8,9:45,미현,5호선,신길,공덕,F,X,남,,청소년,X,X,X,핸드폰,,
2019. 8. 8,8:35,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,이어폰,,
2019. 8. 8,8:35,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,먹기,,
2019. 8. 8,8:55,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,"핸드폰, 손풍기쐬기",,
2019. 8. 8,9:01,재민,분당선,선릉,왕십리,N,X,비었음,5,,0,O,,,,
2019. 8. 8,9:05,재민,분당선,강남구청,왕십리,E,O,비었음,3,,0,O,,,,
2019. 8. 8,9:23,재민,5호선,왕십리,행당,N,X,비었음,1,,0,O,,,,
2019. 8. 8,9:23,재민,5호선,왕십리,공덕,N,X,여,,청년,X,O,X,"핸드폰, 이어폰",,
2019. 8. 8,9:24,재민,5호선,왕십리,공덕,N,X,여,,청년,X,X,,멍,일반석 빈자리 생기니 옮김,백팩 2개
2019. 8. 8,9:29,재민,5호선,동대문역사문화공원,공덕,N,X,비었음,7,,0,O,,,,
2019. 8. 8,9:38,재민,5호선,서대문,공덕,E,O,비었음,3,,0,O,,,,
2019. 8. 8,9:10,현미,6호선,불광,월드컵경기장,E,O,비었음,7,,0,O,,,,
2019. 8. 8,9:12,현미,6호선,불광,공덕,E,O,비었음,14,,0,O,,,,
2019. 8. 8,9:26,현미,6호선,합정,공덕,E,O,남,,청년,X,X,X,핸드폰,,
2019. 8. 8,17:39,미현,5호선,공덕,신길,F,X,여,,노년,X,X,X,핸드폰,,
2019. 8. 8,17:40,보민,6호선,공덕,화랑대,N,O,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 8,17:40,보민,6호선,공덕,화랑대,N,O,여,,중년,X,X,X,멍,,손가방
2019. 8. 8,17:39,미현,5호선,공덕,신길,F,X,여,,중년,X,X,X,잠,,
2019. 8. 8,17:44,보민,6호선,삼각지,약수,N,O,비었음,5,,0,O,,,,
2019. 8. 8,17:51,보민,6호선,약수,청구,N,O,비었음,1,,0,O,,,,
2019. 8. 8,17:52,보민,6호선,공덕,화랑대,N,O,여,,청년,X,X,X,,갑자기 일어나서 열차칸 이동??? 내가 너무 빤히 봤나?,
2019. 8. 8,17:53,보민,6호선,공덕,화랑대,N,O,여,,청년,O,O,X,핸드폰,,백팩
2019. 8. 8,17:55,미현,1호선,신길,수원,F,X,여,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 8,17:55,미현,1호선,신길,수원,F,X,남,,중년,X,X,X,잠,옆자리에 임산부 뱃지를 달고 계신 분이 앉아계심,
2019. 8. 5,17:57,보민,6호선,동묘앞,화랑대,F,X,비었음,7,,0,O,,,,
2019. 8. 8,18:09,미현,1호선,신길,수원,F,X,남,,중년,X,X,X,멍,,
2019. 8. 8,18:26,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,핸드폰,,"미니 쇼핑백, 핸드백"
2019. 8. 8,18:26,미현,1호선,신길,수원,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 8,18:34,미현,1호선,금정,수원,F,X,비었음,6,,0,O,,,,
2019. 8. 8,8:39,단비,7호선,신중동,춘의,N,O,비었음,,,0,O,,,,
2019. 8. 8,8:39,단비,7호선,신중동,온수,N,O,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 8,8:41,단비,7호선,신중동,온수,N,O,남,,청년,X,X,X,잠,,에코백
2019. 8. 8,8:56,단비,1호선,온수,신길,N,X,남,,청년,X,X,X,잠,,백팩
2019. 8. 8,8:56,단비,1호선,온수,신길,N,X,여,,중년,X,X,X,잠,,에코백
2019. 8. 8,9:05,단비,1호선,온수,신길,N,X,여,,중년,X,X,X,잠,,에코백
2019. 8. 8,9:16,단비,5호선,신길,공덕,F,X,여,,노년,X,X,X,핸드폰,,보스턴백
2019. 8. 8,9:16,단비,5호선,신길,여의도,F,X,비었음,,,0,O,,,,
2019. 8. 8,9:18,단비,5호선,신길,공덕,F,X,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 8,17:40,단비,5호선,공덕,신길,N,O,남,,중년,X,X,X,핸드폰,,
2019. 8. 8,17:40,단비,5호선,공덕,여의나루,N,O,비었음,,,0,O,,,,
2019. 8. 8,17:43,단비,5호선,공덕,신길,N,O,여,,노년,X,X,X,대화,,크로스백
2019. 8. 8,17:46,단비,5호선,여의도,신길,N,O,비었음,,,0,O,,,,
2019. 8. 8,17:54,단비,1호선,신길,부천,N,X,여,,중년,X,X,X,대화,팔깁스 하고 계심,크로스백
2019. 8. 8,17:54,단비,1호선,신길,부천,N,X,여,,중년,X,X,X,대화,,크로스백
2019. 8. 8,17:56,단비,1호선,신길,부천,N,X,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 8,17:59,단비,1호선,신길,부천,N,X,여,,노년,X,X,X,멍,,백팩
2019. 8. 8,17:39,재민,5호선,공덕,답십리,N,O,여,,중년,X,X,X,잠,,
2019. 8. 8,17:39,재민,5호선,공덕,답십리,N,O,여,,노년,X,X,O,핸드폰,,구루마
2019. 8. 8,17:54,재민,5호선,공덕,답십리,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 8,18:08,재민,5호선,답십리,왕십리,N,O,비었음,2,,0,O,,,,
2019. 8. 8,18:08,재민,5호선,답십리,왕십리,N,O,여,,중년,X,X,O,멍,,"봉지(중)2개, 토트백(봉지(중)사이즈)"
2019. 8. 8,18:21,재민,분당선,왕십리,야탑,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 8,18:21,재민,분당선,왕십리,야탑,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 9,8:09,미현,1호선,수원,신길,N,O,남,,청년,X,X,X,멍,,쇼퍼백
2019. 8. 9,8:09,미현,1호선,수원,신길,N,O,여,,중년,X,X,X,잠,,핸드백
2019. 8. 9,8:13,한솔,1호선,병점,세류,E,O,비었음,1,,0,O,,,,
2019. 8. 9,8:13,한솔,1호선,병점,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 9,8:23,한솔,1호선,병점,신길,E,O,여,,청년,X,X,,핸드폰,,"백팩, 에코백"
2019. 8. 9,8:26,한솔,1호선,병점,신길,N,O,남,,청년,X,X,,"핸드폰, 이어폰",,백팩
2019. 8. 9,8:26,한솔,1호선,병점,신길,N,O,남,,청년,X,X,,"핸드폰, 이어폰",,노트북 가방
2019. 8. 9,8:28,미현,1호선,수원,신길,N,O,남,,청년,X,X,X,핸드폰,,
2019. 8. 9,8:33,미현,1호선,수원,신길,F,X,여,,청년,X,X,X,핸드폰,,핸드백
2019. 8. 9,8:37,미현,3호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 9,8:50,보민,6호선,화랑대,공덕,F,O,여,,중년,X,X,X,,1정거장 후 내림,
2019. 8. 9,8:52,보민,6호선,화랑대,공덕,F,O,여,,청년,X,X,X,빵먹음,"빵먹으면서 걸터앉아있음, 1정거장 후 내림",
2019. 8. 9,8:52,보민,6호선,화랑대,공덕,F,O,여,,중년,X,X,X,,,
2019. 8. 9,8:55,한솔,1호선,병점,신길,F,X,여,,노년,X,X,X,멍,,
2019. 8. 9,8:57,보민,6호선,화랑대,공덕,F,X,여,,중년,X,X,X,"이어폰, 잠",,
2019. 8. 9,8:59,한솔,1호선,병점,신길,F,X,여,,중년,X,X,O,핸드폰,,캐리어
2019. 8. 9,9:10,보민,6호선,화랑대,공덕,F,X,여,,청년,X,X,X,핸드폰,,핸드백
2019. 8. 9,9:10,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 9,9:10,미현,5호선,신길,공덕,F,X,여,,청년,X,X,X,핸드폰,,에코백
2019. 8. 9,9:20,보민,6호선,약수,공덕,N,O,비었음,7,,0,O,,,,
2019. 8. 9,9:16,한솔,1호선,병점,신길,F,X,여,,중년,X,X,X,잠,,
2019. 8. 9,9:21,한솔,5호선,신길,공덕,F,O,여,,중년,X,X,,멍,,백팩
2019. 8. 9,9:22,한솔,5호선,여의도,마포,F,O,비었음,2,,0,O,,,,
2019. 8. 9,9:27,한솔,5호선,신길,공덕,N,O,여,,중년,X,X,,대화,,메신저백}
2019. 8. 9,8:39,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 9,8:39,재민,분당선,야탑,왕십리,F,X,여,,중년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 9,8:48,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 9,8:48,재민,분당선,복정,강남구청,F,X,비었음,9,,0,O,,,,
2019. 8. 9,9:09,재민,분당선,강남구청,왕십리,E,O,비었음,3,,0,O,,,,
2019. 8. 9,9:09,재민,분당선,야탑,왕십리,E,O,여,,중년,X,X,X,멍,빈 자리 많은데도 임산부석에 앉았다가 1개 역 후에 내림,
2019. 8. 9,9:11,재민,분당선,압구정로데오,왕십리,E,O,비었음,2,,0,O,,,,
2019. 8. 9,9:24,재민,5호선,왕십리,공덕,F,X,여,,청년,X,X,X,잠,,
2019. 8. 9,9:24,재민,5호선,왕십리,공덕,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 9,9:33,재민,5호선,을지로4가,공덕,N,O,비었음,6,,0,O,,,,
2019. 8. 9,9:15,현미,6호선,불광,디엠씨,E,O,비었음,7,,0,O,,,,
2019. 8. 9,9:26,현미,6호선,불광,공덕,E,O,비었음,15,,0,O,,,,
2019. 8. 9,9:26,현미,6호선,디엠씨,공덕,N,O,여,,노년,X,X,O,멍,,구르마에 상자(무거워보였음)
2019. 8. 9,19:00,한솔,5호선,공덕,신길,N,X,여,,노년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 9,19:00,한솔,5호선,공덕,신길,N,X,여,,노년,X,X,,"핸드폰, 이어폰",,백팩
2019. 8. 9,19:21,한솔,1호선,신길,병점,F,O,여,,중년,X,X,,대화,,백팩
2019. 8. 9,19:22,한솔,1호선,신길,병점,F,O,여,,노년,X,X,,멍,,에코백
2019. 8. 9,19:25,한솔,1호선,신길,병점,F,O,여,,중년,X,X,,핸드폰,,에코백
2019. 8. 9,19:41,한솔,1호선,신길,병점,N,O,여,,중년,X,X,X,"이어폰, 잠",,
2019. 8. 9,19:44,한솔,1호선,석수,안양,N,O,비었음,2,,,,,,,
2019. 8. 9,19:47,한솔,1호선,신길,병점,N,O,여,,청년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 9,19:51,한솔,1호선,신길,병점,N,O,여,,청년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 9,19:53,한솔,1호선,신길 ,병점,N,O,여,,노년,X,X,X,핸드폰,,
2019. 8. 9,19:54,한솔,1호선,신길,병점,E,O,남,,중년,X,X,X,핸드폰,,
2019. 8. 9,19:55,한솔,1호선,신길,병점,N,O,남,,노년,X,X,X,핸드폰,,
2019. 8. 9,21:48,미현,5호선,공덕,신길,F,X,여,,중년,X,X,X,멍,,핸드백
2019. 8. 9,21:48,미현,5호선,공덕,신길,F,X,여,,어린이,X,X,X,멍,,에코백
2019. 8. 9,22:12,미현,1호선,신길,구로,N,O,비었음,3,,0,O,,,,
2019. 8. 9,22:12,미현,1호선,신길,가산디지털단지,N,O,비었음,4,,0,O,,,,
2019. 8. 9,22:18,미현,1호선,신길,수원,F,O,남,,청년,X,X,X,핸드폰,,
2019. 8. 9,22:20,미현,1호선,신길,수원,F,O,여,,청소년,X,X,X,핸드폰,,
2019. 8. 9,22:40,미현,1호선,금정,수원,N,O,비었음,6,,0,O,,,,
2019. 8. 9,21:50,재민,5호선,공덕,왕십리,E,O,비었음,11,,0,O,,,,
2019. 8. 9,21:50,재민,5호선,공덕,동대문역사문화공원,E,O,비었음,7,,0,O,,,,
2019. 8. 9,22:03,재민,5호선,공덕,왕십리,N,O,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 9,22:06,재민,5호선,신금호,왕십리,N,O,비었음,2,,0,O,,,,
2019. 8. 9,22:15,재민,분당선,왕십리,강남구청,E,O,비었음,3,,0,O,,,,
2019. 8. 9,22:15,재민,분당선,왕십리,압구정로데오,E,O,비었음,2,,0,O,,,,
2019. 8. 9,22:25,재민,분당선,왕십리,야탑,N,O,여,,노년,X,X,X,멍,,"백팩, 에코백"
2019. 8. 9,22:27,재민,분당선,왕십리,야탑,N,O,여,,청년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 9,22:34,재민,분당선,왕십리,야탑,F,X,남,,청년,X,X,X,"핸드폰, 이어폰",,백팩
2019. 8. 9,22:44,재민,분당선,왕십리,야탑,F,X,남,,중년,X,X,X,"잠, 이어폰",,
2019. 8. 9,19:05,보민,5호선,공덕,여의도,N,O,여,,청년,X,X,X,대화,,토드백
2019. 8. 9,19:05,보민,5호선,공덕,여의도,N,O,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 9,19:18,보민,9호선,여의도,샛강,N,X,비었음,1,,0,O,,,,
2019. 8. 9,19:18,보민,9호선,여의도,노량진,N,X,여,,청년,X,X,X,핸드폰,,보스턴백
2019. 8. 9,19:20,보민,9호선,샛강,노량진,N,X,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 9,19:26,보민,9호선,노량진,노들,E,X,여,,청년,X,X,X,핸드폰,"옆자리가 비었는데 임산부석 앉음, 한정거장 가서 내림",
2019. 8. 9,19:24,보민,9호선,노량진,흑석,N,X,비었음,2,,0,O,,,,
2019. 8. 9,19:28,보민,9호선,노들,흑석,N,X,비었음,1,,0,O,,,,
2019. 8. 9,19:31,보민,9호선,흑석,고속터미널,F,X,여,,중년,X,X,X,멍,,비닐봉지
2019. 8. 9,19:31,보민,9호선,흑석,동작,F,X,남,,노년,X,X,X,멍,앉을까 말까 고민하다가 눈치보고 앉음,
2019. 8. 9,19:35,보민,9호선,동작,고속터미널,F,X,여,,노년,X,X,X,멍,,크로스백
2019. 8. 9,19:55,보민,7호선,고속터미널,학동,F,X,비었음,3,,0,O,,,,
2019. 8. 9,19:55,보민,7호선,고속터미널,상봉,F,X,남,,청년,X,X,X,핸드폰,"짧은머리, 환자같음",크로스백
2019. 8. 9,20:00,보민,7호선,학동,태릉입구,F,O,여,,청년,X,X,O,전화,,큰 쇼핑백
2019. 8. 9,20:22,보민,7호선,상봉,먹골,N,O,여,,노년,X,X,X,대화,남편과 같이 앉음,
2019. 8. 9,20:26,보민,7호선,먹골,태릉입구,E,O,비었음,1,,0,O,,,,
2019. 8. 12,8:00,한솔,1호선,병점,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 12,8:00,한솔,1호선,병점,신길,E,O,여,,중년,X,X,X,핸드폰,빈자리가 많았음에도 불구하고 굳이 임산부석 착석,
2019. 8. 12,8:12,한솔,1호선,수원 ,병점,E,O,여,,중년,X,X,X,핸드폰,,
2019. 8. 12,8:12,한솔,1호선,수원,병점,E,O,비었음,2,,0,O,,,,
2019. 8. 12,8:44,미현,1호선,수원,신길,E,O,여,,청년,O,O,X,핸드폰,,"핸드백, 장대우산"
2019. 8. 12,8:44,미현,1호선,수원,화서,E,O,비었음,1,,0,O,,,,
2019. 8. 12,8:44,미현,1호선,수원,신길,E,O,여,,중년,X,X,X,멍,,"핸드백, 우산(중), 미니쇼핑백"
2019. 8. 12,9:02,미현,1호선,수원,신길,N,X,여,,청년,X,X,X,핸드폰,,"장대우산, 크로스백"
2019. 8. 12,9:27,미현,1호선,수원,신길,N,X,여,,중년,X,X,O,핸드폰,,20인치 캐리어
2019. 8. 12,9:44,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,핸드폰,,"핸드백, 3단 우산"
2019. 8. 12,9:44,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 12,9:45,미현,5호선,여의도,공덕,F,X,비었음,3,,0,O,,,,
2019. 8. 12,18:15,한솔,5호선,공덕,신길,F,X,여,,중년,X,X,,핸드폰,,핸드백
2019. 8. 12,18:15,한솔,5호선,공덕,신길,F,X,여,,중년,X,X,,핸드폰,,핸드백
2019. 8. 12,18:56,한솔,1호선,신길,병점,F,O,남,,노년,X,X,X,멍,,
2019. 8. 12,18:57,한솔,1호선,명학,성균관대,F,O,비었음,5,,0,O,,,,
2019. 8. 12,19:05,한솔,1호선,금정,성균관대,N,O,비었음,4,,0,O,,,,
2019. 8. 12,19:10,한솔,1호선,신길,병점,E,O,여,,중년,X,X,,대화,핸드백,
2019. 8. 12,19:10,한솔,1호선,신길,병점,E,O,남,,어린이,X,X,X,"핸드폰, 대화",,
2019. 8. 12,21:15,미현,5호선,공덕,신길,F,O,여,,청년,O,O,X,핸드폰,,핸드백
2019. 8. 12,21:15,미현,5호선,공덕,신길,F,O,비었음,4,,0,O,,,,
2019. 8. 12,21:33,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 12,21:33,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,잠,,"핸드백, 장대우산"
2019. 8. 12,21:45,미현,1호선,신길,수원,F,X,여,,청년,X,X,X,전화,,"에코백, 2단 우산"
2019. 8. 12,21:45,미현,1호선,가산디지털단지,금정,F,X,비었음,7,,0,O,,,,
2019. 8. 12,22:05,미현,1호선,신길,수원,N,O,여,,중년,X,X,X,핸드폰,옆 자리에 앉아 있다가 임산부석으로 옮김,"백팩, 얼굴 크기의 비닐 봉지"
2019. 8. 12,22:17,미현,1호선,성균관대역,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 12,21:17,미현,1호선,성균관대역,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 12,8:47,재민,분당선,야탑,복정,F,X,비었음,,,,,,,,
2019. 8. 12,8:47,재민,분당선,야탑,왕십리,F,X,여,,청년,X,O,,핸드폰,,"핸드백, 에코백, 장우산"
2019. 8. 12,8:57,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,,화장,,"크로스백, 쇼핑백(소), 단우산"
2019. 8. 12,8:57,재민,분당선,복정,강남구청,F,X,비었음,9,,,,,,,
2019. 8. 12,9:17,재민,분당선,야탑,왕십리,E,O,여,,중년,X,X,X,멍,,
2019. 8. 12,9:17,재민,분당선,강남구청,왕십리,E,O,비었음,3,,,,,,,
2019. 8. 12,9:19,재민,분당선,압구정로데오,왕십리,E,O,비었음,2,,,,,,,
2019. 8. 12,9:36,재민,5호선,왕십리,공덕,F,X,여,,청년,X,X,X,핸드폰,임산부가 탔는데 안 비켜줘서 그 옆자리 분이 비켜줌,
2019. 8. 12,9:36,재민,5호선,왕십리,공덕,F,X,여,,청년,X,X,X,잠,,
2019. 8. 12,9:45,재민,5호선,을지로4가,종로3가,N,O,비었음,1,,,,,,,
2019. 8. 12,9:48,재민,5호선,왕십리,공덕,N,O,남,,청소년,X,X,,핸드폰,,"백팩, 장우산"
2019. 8. 12,9:51,재민,5호선,서대문,공덕,N,O,비었음,3,,,,,,,
2019. 8. 12,21:19,재민,5호선,공덕,왕십리,E,O,비었음,11,,,,,,,
2019. 8. 12,21:19,재민,5호선,공덕,충정로,E,O,비었음,2,,,,,,,
2019. 8. 12,21:22,재민,5호선,공덕,왕십리,E,O,여,,청년,X,X,X,핸드폰,,
2019. 8. 12,21:44,재민,분당선,왕십리,선릉,E,O,비었음,5,,,,,,,
2019. 8. 12,21:44,재민,분당선,왕십리,선정릉,E,O,비었음,4,,,,,,,
2019. 8. 12,21:57,재민,분당선,왕십리,야탑,N,O,여,,중년,X,X,X,대화,,
2019. 8. 12,21:59,재민,분당선,왕십리,야탑,F,O,여,,청년,X,X,X,핸드폰,,
2019. 8. 12,22:11,재민,분당선,왕십리,야탑,F,O,여,,청년,X,X,,"핸드폰, 이어폰",,메신저백
2019. 8. 12,22:20,재민,분당선,왕십리,야탑,F,O,남,,중년,X,X,,핸드폰,,"크로스백, 장우산"
2019. 8. 13,8:00,한솔,1호선,병점,신길,N,O,남,,청년,X,X,,"이어폰, 잠",텅텅 빈 시작역부터 임산부석에 앉아서 옴,백팩
2019. 8. 13,8:00,한솔,1호선,병점,신길,N,O,여,,노년,X,X,,잠,,백팩
2019. 8. 13,8:21,한솔,1호선,병점,신길,F,X,남,,중년,X,X,X,"이어폰, 잠",앞에 임산부 있는데도 자서 옆사람이 자리내줌.......,
2019. 8. 13,8:24,미현,1호선,수원,신길,F,X,남,,중년,X,X,X,핸드폰,,노트북 가방
2019. 8. 13,8:24,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 13,8:28,한솔,1호선,병점,신길,F,X,여,,청년,X,X,,핸드폰,,"핸드백, 에코백"
2019. 8. 13,8:32,미현,1호선,수원,신길,F,X,여,,노년,X,X,X,잠,,핸드백
2019. 8. 13,8:46,한솔,1호선,독산,가산디지털단지,F,X,비었음,1,,0,O,,,,
2019. 8. 13,8:49,한솔,1호선,병점,신길,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,
