날짜,기록 시간,기록자,호선,탑승역,하차역,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류
2019. 8. 2,17:52,한솔,1호선,신길,영등포,E,O,비었음,1,,,,,,,
2019. 8. 2,17:52,한솔,1호선,신길,신도림,E,O,비었음,2,,,,,,,
2019. 8. 2,17:57,한솔,1호선,신길,병점,E,O,남,,노년,X,X,,멍,,많이 비어보이는 백팩
2019. 8. 2,17:59,한솔,1호선,신길,병점,N,O,남,,청년,X,X,,핸드폰,,내려 놓을 때 둔탁한 소리가 나는 무거운듯한 백팩
2019. 8. 2,18:18,한솔,1호선,신길,병점,N,O,여,,중년,X,X,,핸드폰,,에코백
2019. 8. 2,18:22,한솔,1호선,신길,병점,N,O,여,,중년,X,X,,핸드폰,,"에코백, 도트백"
2019. 8. 2,18:27,한솔,1호선,금정,병점,N,O,비었음,8,,,,,,,
2019. 8. 2,17:29,재민,5호선,공덕,왕십리,N,X,남,,중년,X,X,X,멍,,
2019. 8. 2,17:29,재민,5호선,공덕,왕십리,N,X,여,,청년,X,X,X,대화,,
2019. 8. 2,17:30,재민,5호선,충정로,광화문,N,X,비었음,2,,,,,,,
2019. 8. 2,17:35,재민,5호선,공덕,왕십리,N,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 2,17:38,재민,5호선,종로3가,동대문역사문화공원,N,X,비었음,2,,,,,,,
2019. 8. 2,17:42,재민,5호선,공덕,왕십리,N,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 2,18:20,현미,6호선,공덕,불광,F,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 2,18:32,현미,6호선,공덕,응암,F,X,남,,중년,X,X,X,멍,,검은 봉투 1개
2019. 8. 2,18:45,현미,6호선,응암,불광,N,O,비었음,2,,,,,,,
2019. 8. 3,9:19,한솔,1호선,병점,종각,E,O,여,,노년,X,X,X,멍,,
2019. 8. 3,9:19,한솔,1호선,병점,종각,E,O,여,,노년,X,X,,멍,,비교적 작은 백팩
2019. 8. 3,9:24,한솔,1호선,의왕,종각,E,O,비었음,21,,,,,,,
2019. 8. 3,10:01,한솔,1호선,구로,노량진,E,O,비었음,5,,,,,,,
2019. 8. 3,10:13,한솔,1호선,병점 ,종각,E,O,여,,노년,X,X,X,,,
2019. 8. 3,10:32,현미,6호선,불광,경복궁,F,X,여,,청년,X,O,X,핸드폰,,
2019. 8. 3,10:36,현미,6호선,불광,경복궁,F,X,여,,중년,X,X,X,멍,,
2019. 8. 3,18:10,한솔,1호선,종각,병점,N,O,여,,중년,X,X,X,멍,,
2019. 8. 3,18:10,한솔,1호선,종각,병점,N,O,여,,노년,X,X,X,멍,,
2019. 8. 3,18:19,한솔,1호선,종각,병점,N,O,남,,노년,X,X,O,멍,,큰 이마트 백
2019. 8. 3,18:20,현미,6호선,경복궁,불광,N,O,비었음,,,,,,,,
2019. 8. 3,18:21,한솔,1호선,종각,병점,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 3,18:23,한솔,1호선,노량진,신길,N,X,비었음,2,,,,,,,
2019. 8. 3,18:28,한솔,1호선,종각,병점,N,O,여,,중년,X,X,X,핸드폰,,
2019. 8. 3,19:03,한솔,1호선,종각,병점,N,O,여,,중년,X,X,O,핸드폰,,엄청엄청 큰 쇼핑백
2019. 8. 3,17:04,한솔,1호선,종각,병점,N,O,여,,청년,X,X,X,핸드폰,,도트백
2019. 8. 3,19:29,미현,1호선,종각,수원,N,X,여,,중년,X,X,O,대화,두분이서 대화 나누심,끌고 다니는 시장 바구니와 그 위에 짐이 또 있음
2019. 8. 3,19:29,미현,1호선,종각,용산,N,X,비었음,4,,,,,,,
2019. 8. 3,19:38,미현,1호선,종각,수원,N,X,남,,청소년,X,X,X,핸드폰,엄마가 앉으라고 아들에게 권유 아들은 덥썩 앉음,백팩
2019. 8. 3,19:48,미현,1호선,종각,수원,F,X,여,,청년,X,X,X,잠,,
2019. 8. 3,20:11,미현,1호선,종각,수원,F,X,여,,중년,X,X,X,핸드폰,,"쇼핑백 두 개, 우산, 미니 크로스백"
2019. 8. 3,20:11,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,핸드폰,,쇼퍼백
2019. 8. 3,20:28,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,멍,외국인,mlb 백팩
2019. 8. 3,20:29,미현,1호선,종각,수원,F,X,남,,어린이,X,X,X,핸드폰,어린이 세 명이 두 자리에 나눠 앉음 그 앞에 부모님이 서계심,
2019. 8. 3,20:40,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,대화,외국인,쇼핑백 상체 사이즈
2019. 8. 3,20:40,미현,1호선,성균관대,수원,F,X,비었음,2,,,,,,옆자리 중년 남성이 자신의 쇼핑백을 올려둠,
2019. 8. 3,9:42,재민,분당선,야탑,왕십리,N,X,남,,중년,X,X,O,핸드폰,,백팩
2019. 8. 3,9:54,재민,분당선,야탑,왕십리,N,O,여,,청년,X,X,O,멍,,백팩
2019. 8. 3,9:54,재민,분당선,야탑,왕십리,N,O,여,,중년,X,X,O,멍,,"큰 크로스백, 도시락가방(?)"
2019. 8. 3,10:32,재민,5호선,왕십리,광화문,N,O,여,,중년,X,X,X,,,
2019. 8. 3,10:32,재민,5호선,왕십리,광화문,N,O,여,,중년,X,X,X,,,
2019. 8. 3,18:06,재민,5호선,광화문,왕십리,F,O,여,,중년,X,X,X,,,백팩
2019. 8. 3,18:06,재민,5호선,광화문,왕십리,F,O,여,,청년,X,X,X,,,
2019. 8. 3,18:11,재민,5호선,광화문,왕십리,F,O,여,,중년,X,X,X,,,에코백 빵빵함
2019. 8. 3,18:15,재민,5호선,광화문,왕십리,F,O,여,,노년,X,X,X,,,
2019. 8. 3,18:23,재민,분당선,왕십리,야탑,N,X,여,,청년,X,O,X,핸드폰,,
2019. 8. 3,18:23,재민,분당선,왕십리,가천대,N,X,비었음,13,,,,,,옆에 앉은 여성분이 임산부석에 악기를 올려놓음,
2019. 8. 3,18:35,재민,분당선,왕십리,야탑,F,X,남,,,,,,,,
2019. 8. 3,18:49,재민,분당선,왕십리,야탑,F,X,여,,노년,X,X,X,잠,,
2019. 8. 3,19:01,재민,분당선,왕십리,야탑,F,X,여,,노년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 3,9:49,보민,6호선,화랑대,태릉입구,N,O,비었음,1,,,,,,,
2019. 8. 3,9:49,보민,6호선,화랑대,돌곶이,N,O,비었음,3,,,,,,,
2019. 8. 3,9:49,보민,6호선,석계,돌곶이,N,O,비었음,1,,,,,,,
2019. 8. 3,9:50,보민,6호선,안암,창신,N,O,비었음,2,,,,,,,
2019. 8. 3,9:50,보민,6호선,보문,창신,N,O,비었음,1,,,,,,,
2019. 8. 3,9:50,보민,6호선,화랑대,청구,E,O,여,,노년,X,X,X,미어캣,다음에 바로 내림,
2019. 8. 3,9:50,보민,6호선,화랑대,청구,E,O,여,,노년,X,X,O,전단지 정독,,소형 구루마
2019. 8. 3,9:50,보민,6호선,화랑대,청구,N,O,남,,노년,X,X,X,부채질,옆자리 났는데 꿋꿋이 팔걸치고 앉아 있음,
2019. 8. 3,9:50,보민,6호선,화랑대,청구,N,O,여,,노년,X,X,X,미어캣,뛰어와서 앉음,힙색
2019. 8. 3,9:50,보민,6호선,화랑대,청구,N,O,여,,청년,X,X,X,멍,옆자리로 옮겨앉음,
2019. 8. 3,9:50,보민,6호선,화랑대,청구,N,O,여,,청년,X,X,X,이어폰,,
2019. 8. 3,9:50,보민,6호선,화랑대,청구,N,O,여,,어린이,X,X,X,이어폰,,크로스백
2019. 8. 3,10:13,보민,5호선,청구,경복궁,E,O,여,,노년,X,X,X,묵주 돌리기,,핸드백
2019. 8. 3,10:13,보민,5호선,청구,경복궁,E,O,남,,노년,X,X,X,"봉에 팔 걸침, 미어캣",,
2019. 8. 3,10:20,보민,5호선,청구,경복궁,E,O,여,,중년,X,X,X,핸드폰,옆 자리에 앉아서 가방을 임산부석에 올려놓음,
2019. 8. 3,19:20,보민,5호선,광화문,청구,E,O,비었음,12,,,,,,,
2019. 8. 3,19:20,보민,6호선,청구,화랑대,E,O,비었음,12,,,,,,,
2019. 8. 3,19:30,보민,6호선,광화문,화랑대,E,O,남,,중년,X,X,X,통화,한쪽 다리로 임산부석에 걸터 앉음,일수가방
2019. 8. 3,18:03,단비,1호선,종각,온수,E,X,남,,노년,X,X,X,공부,,봉지(미니)
2019. 8. 3,18:03,단비,1호선,종각,온수,E,X,여,,중년,X,X,X,대화,,
2019. 8. 3,18:31,단비,1호선,구로,온수,E,X,비었음,,,,,,,,
2019. 8. 3,18:43,단비,7호선,온수,신중동,E,X,비었음,,,,,,,,
2019. 8. 3,18:43,단비,7호선,온수,까치울,E,X,비었음,,,,,,,,
2019. 8. 3,18:46,단비,7호선,까치울,춘의,E,X,여,,중년,X,X,X,잠,옆 자리가 비어서 춘의역부터는 일반석에 앉음,
2019. 8. 3,18:50,단비,7호선,춘의,신중동,E,X,비었음,,,,,,,,
2019. 8. 5,8:27,한솔,1호선,병점,신길,F,O,남,,중년,X,X,X,핸드폰,,노트북 가방
2019. 8. 5,8:27,한솔,1호선,병점,신길,F,O,여,,청년,O,O,X,"핸드폰, 이어폰",,
2019. 8. 3,8:36,미현,1호선,수원,신길,E,O,남,,중년,X,X,X,핸드폰,,백팩
2019. 8. 5,8:36,미현,1호선,수원,군포,E,O,비었음,5,,,,,,,
2019. 8. 5,8:45,한솔,1호선,병점,수원,F,X,남,,노년,X,X,X,핸드폰,,
2019. 8. 5,8:51,미현,1호선,수원,신길,N,O,남,,중년,X,X,X,멍,,크로스백
2019. 8. 5,8:53,미현,1호선,수원,신길,N,O,여,,청년,X,X,X,핸드폰,,"에코백, 백팩"
2019. 8. 5,8:53,미현,1호선,금정,안양,N,O,비었음,2,,,,,,,
2019. 8. 5,9:00,한솔,1호선,병점,신길,F,X,여,,노년,X,X,,핸드폰,,핸드백
2019. 8. 5,9:00,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,멍,,핸드백
2019. 8. 5,9:08,한솔,1호선,병점,신길,F,O,여,,중년,X,X,X,잠,,
2019. 8. 5,9:12,한솔,1호선,신도림,영등포,F,O,비었음,1,,,,,,,
2019. 8. 5,9:13,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 5,9:15,한솔,1호선,병점,신길,F,O,남,,청년,X,X,,,,백팩
2019. 8. 5,9:20,한솔,5호선,신길,공덕,F,X,남,,노년,X,X,X,,,에코백
2019. 8. 5,9:20,한솔,5호선,신길,공덕,N,X,여,,중년,X,X,,,,
2019. 8. 5,9:38,미현,5호선,신길,공덕,F,X,여,,노년,X,X,X,멍,,"백팩, 크로스백"
2019. 8. 5,9:38,미현,5호선,신길,공덕,F,X,여,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 5,8:29,재민,분당선,야탑,왕십리,F,X,여,,청년,O,O,X,핸드폰,,
2019. 8. 5,8:29,재민,분당선,야탑,왕십리,F,X,여,,노년,X,X,X,핸드폰,,
2019. 8. 5,8:38,재민,분당선,복정,수서,F,X,비었음,1,,,,,,,
2019. 8. 5,8:40,재민,분당선,야탑,왕십리,F,X,남,,청년,X,X,X,핸드폰 -> 잠,점점 일반석이 많이 나도 옮기지 않음,
2019. 8. 5,8:43,재민,분당선,야탑,왕십리,F,X,여,,중년,X,X,X,음료마심,,
2019. 8. 5,8:59,재민,분당선,압구정로데오,왕십리,E,O,비었음,2,,,,,,,
2019. 8. 5,9:13,재민,5호선,왕십리,공덕,E,O,여,,청년,X,X,X,핸드폰,,
2019. 8. 5,9:13,재민,5호선,왕십리,공덕,E,O,비었음,11,,,,,,,
2019. 8. 5,9:26,재민,5호선,광화문,공덕,E,O,비었음,11,,,,,,,
2019. 8. 5,9:20,현미,6호선,불광,공덕,E,X,비었음,15,,,,,,,
2019. 8. 5,9:20,현미,6호선,불광,합정,E,X,비었음,7,,,,,,,
2019. 8. 5,9:30,현미,6호선,합정,공덕,E,X,남,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 5,18:35,미현,5호선,공덕,신길,F,X,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 5,18:35,미현,5호선,공덕,신길,F,X,여,,청년,X,X,X,핸드폰,,"크로스백, 미니 쇼핑백"
2019. 8. 5,18:48,미현,1호선,신길,수원,N,X,여,,청년,O,O,X,핸드폰,,크로스백
2019. 8. 5,18:48,미현,1호선,신길,영등포,N,X,비었음,1,,0,O,,,,
2019. 8. 5,18:51,미현,1호선,신길,수원,N,X,여,,청년,X,X,X,핸드폰,,쇼퍼백
2019. 8. 5,8:53,보민,6호선,화랑대,돌곶이,N,X,비었음,3,,,,,,,
2019. 8. 5,8:53,보민,6호선,화랑대,상월곡,N,X,비었음,4,,,,,,,
2019. 8. 5,9:18,보민,6호선,한강진,삼각지,N,O,비었음,3,,,,,,,
2019. 8. 5,8:55,보민,6호선,화랑대,공덕,N,X,여,,청년,O,O,X,,,
2019. 8. 5,8:55,보민,6호선,화랑대,공덕,N,X,여,,노년,X,X,X,,,"썬캡, 힙쌕"
2019. 8. 5,8:58,보민,6호선,화랑대,공덕,F,X,여,,청년,X,X,X,핸드폰,,백팩
2019. 8. 5,8:58,보민,6호선,화랑대,공덕,N,X,여,,청년,X,X,X,이어폰,옆자리가 나자 옮겨 앉음,토드백
2019. 8. 5,18:45,보민,경의중앙선,공덕,회기,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 5,18:45,보민,경의중앙선,공덕,회기,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 5,18:50,보민,경의중앙선,공덕,회기,F,X,여,,중년,X,X,X,"핸드폰, 이어폰, 잠",,
2019. 8. 5,20:44,한솔,5호선,공덕,신길,N,O,여,,중년,X,X,X,핸드폰,,
2019. 8. 5,20:45,한솔,5호선,공덕,신길,N,O,비었음,4,,0,O,,,,
2019. 8. 5,20:49,한솔,5호선,여의나루,신길,N,O,비었음,2,,0,O,,,,
2019. 8. 5,21:02,한솔,1호선,신길,구로,N,O,비었음,3,,0,O,,,,
2019. 8. 5,21:02,한솔,1호선,신길,독산,N,O,비었음,5,,0,O,,,,
2019. 8. 5,21:10,한솔,1호선,신길,병점,N,O,여,,청년,X,X,,핸드폰,,노말 쇼핑백
2019. 8. 5,21:16,한솔,1호선,신길,병점,N,O,여,,중년,X,X,,멍,,쇼핑백
2019. 8. 5,21:18,한솔,1호선,금천구청,병점,N,O,비었음,13,,,,,,,
2019. 8. 5,21:41,한솔,1호선,의왕,병점,N,O,비었음,5,,,,,,,
2019. 8. 5,20:58,현미,6호선,공덕,불광,E,O,비었음,13,,,,,,,
2019. 8. 5,20:59,현미,6호선,공덕,디엠씨,E,O,비었음,6,,,,,,,
2019. 8. 5,21:10,현미,6호선,디엠씨,불광,N,O,남,,청년,X,X,X,멍,,
2019. 8. 5,21:06,재민,5호선,공덕,왕십리,E,O,비었음,11,,0,O,,,,
2019. 8. 5,21:06,재민,5호선,공덕,왕십리,E,O,비었음,11,,0,O,,,,
