date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 1.,22:51:00,7,대림,신중동,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 1.,22:51:00,7,대림,신중동,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 1.,23:02:00,7,대림,신중동,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,8:29:00,1,병점,신길,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 2.,8:29:00,1,병점,신길,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 2.,8:47:00,1,병점,신길,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,8:59:00,1,병점,신길,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,9:03:00,1,병점,신길,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019. 8. 2.,9:26:00,5,신길,공덕,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,9:26:00,5,신길,공덕,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2019. 8. 2.,8:23:00,1,수원,영등포,0,0,1,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,8:23:00,1,수원,영등포,0,0,1,0,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,8:50:00,1,수원,영등포,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,9:01:00,1,영등포,신길,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,9:01:00,1,영등포,신길,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,9:11:00,5,신길,공덕,0,0,1,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,9:00:00,6,화랑대,공덕,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,9:00:00,6,화랑대,공덕,0,1,0,1,0,1,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,9:00:00,6,화랑대,공덕,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,9:00:00,6,화랑대,공덕,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,8:47:00,7,신중동,온수,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2019. 8. 2.,8:47:00,7,신중동,온수,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2019. 8. 2.,9:02:00,1,온수,신길,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2019. 8. 2.,9:02:00,1,온수,신길,0,1,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019. 8. 2.,9:02:00,1,온수,신길,0,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019. 8. 2.,9:25:00,5,신길,공덕,0,1,0,1,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019. 8. 2.,9:25:00,5,신길,공덕,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,8:32:00,10,야탑,왕십리,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
